s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.6838517E+000, 9.3380197E+001,-2.9670019E+001, 1.7042783E+000,-1.0032183E+000, 2.4109186E-001, 0.0000000E+000, 0.0000000E+000, 6.5248867E+001, 6.4652330E+001, 1.7793234E-003, 1.7793234E-003
 1.7441989E+000, 8.6435625E+001,-2.6919561E+001, 1.6353825E+000,-9.8828471E-001, 2.5078799E-001, 0.0000000E+000, 0.0000000E+000, 6.0648318E+001, 6.0413950E+001, 1.7937686E-003, 1.7937686E-003
 1.8029045E+000, 8.8314836E+001,-2.7728663E+001, 1.6004335E+000,-9.2287143E-001, 2.5976684E-001, 0.0000000E+000, 0.0000000E+000, 6.1117536E+001, 6.1523502E+001, 1.8068228E-003, 1.8068228E-003
 1.8611207E+000, 9.3517360E+001,-2.9954368E+001, 1.7275189E+000,-8.7466283E-001, 2.6307948E-001, 0.0000000E+000, 0.0000000E+000, 6.4597072E+001, 6.4678928E+001, 1.8183428E-003, 1.8183428E-003
 1.9240823E+000, 9.2545683E+001,-2.9871063E+001, 1.6809483E+000,-8.7756858E-001, 2.6626814E-001, 0.0000000E+000, 0.0000000E+000, 6.3930868E+001, 6.3744268E+001, 1.8289942E-003, 1.8289942E-003
 1.9832771E+000, 8.8349992E+001,-2.8047567E+001, 1.6102578E+000,-8.9240390E-001, 2.6892058E-001, 0.0000000E+000, 0.0000000E+000, 6.1331426E+001, 6.1289199E+001, 1.8385441E-003, 1.8385441E-003
 2.0424716E+000, 9.6563706E+001,-3.0984512E+001, 1.6987846E+000,-9.3982710E-001, 2.7019204E-001, 0.0000000E+000, 0.0000000E+000, 6.6047609E+001, 6.6608343E+001, 1.8467704E-003, 1.8467704E-003
 2.1036501E+000, 1.0105607E+002,-3.2442234E+001, 1.8578628E+000,-1.0184285E+000, 2.7156673E-001, 0.0000000E+000, 0.0000000E+000, 6.9756706E+001, 6.9724835E+001, 1.8542036E-003, 1.8542036E-003
 2.1601055E+000, 9.8605794E+001,-3.1771553E+001, 1.7534166E+000,-1.1817218E+000, 2.7117611E-001, 0.0000000E+000, 0.0000000E+000, 6.7712042E+001, 6.7677112E+001, 1.8606771E-003, 1.8606771E-003
 2.2201536E+000, 1.0019532E+002,-3.2362575E+001, 1.8184947E+000,-1.5074731E+000, 2.7053251E-001, 0.0000000E+000, 0.0000000E+000, 6.8523271E+001, 6.8414303E+001, 1.8664305E-003, 1.8664305E-003
 2.2822547E+000, 9.3540446E+001,-2.9972617E+001, 1.7213181E+000,-1.9321325E+000, 2.7392926E-001, 0.0000000E+000, 0.0000000E+000, 6.3991087E+001, 6.3630944E+001, 1.8717932E-003, 1.8717932E-003
 2.3443556E+000, 9.4531959E+001,-3.0107248E+001, 1.6661699E+000,-2.3601215E+000, 2.7604763E-001, 0.0000000E+000, 0.0000000E+000, 6.3501375E+001, 6.4006807E+001, 1.8766213E-003, 1.8766213E-003
 2.4008110E+000, 1.0390144E+002,-3.3683407E+001, 1.9031586E+000,-2.7070025E+000, 2.7466849E-001, 0.0000000E+000, 0.0000000E+000, 6.9717387E+001, 6.9688861E+001, 1.8807161E-003, 1.8807161E-003
