s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 5.3411012E+000, 8.5544282E+002,-3.5948495E+002,-4.9222825E+002,-9.5540863E+000, 4.2818242E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8303311E+001, 3.6993774E+001, 8.8792580E-002, 8.8792580E-002
 5.3712721E+000, 9.0514654E+002,-3.8013705E+002,-5.1332050E+002,-8.9064971E+000, 4.3635878E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.9850554E+001, 4.6418373E+001, 8.8792827E-002, 8.8792827E-002
 5.4043608E+000, 9.0303614E+002,-3.8288886E+002,-5.4641962E+002,-9.9946050E+000, 4.4296201E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4693859E+001, 8.0292595E+000, 8.8793067E-002, 8.8793067E-002
 5.4339366E+000, 8.9345031E+002,-3.7546324E+002,-5.7187363E+002,-1.0703833E+001, 4.4508055E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5232664E+001,-2.0082341E+001, 8.8793296E-002, 8.8793296E-002
 5.4640603E+000, 8.9981682E+002,-3.8242553E+002,-5.6799846E+002,-1.1077665E+001, 4.4301987E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2037032E+001,-1.7382854E+001, 8.8793497E-002, 8.8793497E-002
 5.4941840E+000, 8.9427630E+002,-3.7844326E+002,-5.6614013E+002,-1.0244877E+001, 4.4285851E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1844887E+001,-1.6266121E+001, 8.8793688E-002, 8.8793688E-002
 5.5228672E+000, 1.0296397E+003,-4.1635090E+002,-6.4509669E+002,-6.5074819E+000, 3.6327258E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.5412718E+001,-1.9881491E+000, 8.8793860E-002, 8.8793860E-002
 5.5527887E+000, 9.0950765E+002,-3.9581117E+002,-6.2947374E+002,-1.0095223E+001, 3.6751964E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.2968969E+001,-8.9120516E+001, 8.8794026E-002, 8.8794026E-002
 5.5832801E+000, 8.9024167E+002,-3.7266916E+002,-6.2823761E+002,-1.0957094E+001, 3.7425953E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.8075152E+001,-8.4196236E+001, 8.8794187E-002, 8.8794187E-002
 5.6115732E+000, 8.7034851E+002,-3.6218379E+002,-6.1269280E+002,-1.0725638E+001, 3.7967185E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.0264403E+001,-7.7286530E+001, 8.8794335E-002, 8.8794335E-002
 5.6455245E+000, 8.4873076E+002,-3.5344797E+002,-5.7441304E+002,-9.6885306E+000, 3.8257807E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4071390E+001,-5.0560976E+001, 8.8794481E-002, 8.8794481E-002
 5.6738176E+000, 8.5212659E+002,-3.5106332E+002,-5.2368256E+002,-8.4022978E+000, 3.9210640E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6693907E+001, 8.1890493E+000, 8.8794619E-002, 8.8794619E-002
