s,C
Time,"HD"
 2.3114614E+001, 3.6989805E+001
 2.3164403E+001, 3.7040606E+001
 2.3268959E+001, 3.7120190E+001
 2.3323727E+001, 3.7201228E+001
 2.3378494E+001, 3.7255333E+001
 2.3433262E+001, 3.7308619E+001
 2.3488030E+001, 3.7361091E+001
 2.3542797E+001, 3.7412647E+001
 2.3597565E+001, 3.7463366E+001
 2.3652332E+001, 3.7513187E+001
 2.3700847E+001, 3.7556690E+001
 2.3797876E+001, 3.7620811E+001
 2.3846391E+001, 3.7684045E+001
 2.3894905E+001, 3.7725706E+001
 2.3943420E+001, 3.7767178E+001
 2.4045301E+001, 3.7832182E+001
 2.4098667E+001, 3.7899096E+001
 2.4152033E+001, 3.7944494E+001
 2.4205399E+001, 3.7990130E+001
 2.4258765E+001, 3.8036171E+001
 2.4312131E+001, 3.8082774E+001
 2.4365497E+001, 3.8130197E+001
 2.4472229E+001, 3.8202814E+001
 2.4525595E+001, 3.8276902E+001
 2.4578961E+001, 3.8327132E+001
 2.4632327E+001, 3.8377745E+001
 2.4685693E+001, 3.8428369E+001
 2.4739059E+001, 3.8478931E+001
 2.4792425E+001, 3.8529117E+001
 2.4845792E+001, 3.8578889E+001
 2.4952524E+001, 3.8652483E+001
 2.5005890E+001, 3.8724949E+001
 2.5059256E+001, 3.8772502E+001
 2.5112622E+001, 3.8819550E+001
 2.5165988E+001, 3.8866246E+001
 2.5219354E+001, 3.8912541E+001
 2.5272720E+001, 3.8958516E+001
 2.5326086E+001, 3.9004177E+001
 2.5432818E+001, 3.9072102E+001
 2.5486184E+001, 3.9139658E+001
 2.5539550E+001, 3.9184430E+001
 2.5592916E+001, 3.9229161E+001
 2.5646283E+001, 3.9273822E+001
 2.5699649E+001, 3.9318551E+001
 2.5753015E+001, 3.9363415E+001
 2.5806381E+001, 3.9408278E+001
 2.5913113E+001, 3.9475800E+001
 2.5959232E+001, 3.9537316E+001
 2.6005352E+001, 3.9576544E+001
 2.6051472E+001, 3.9616018E+001
 2.6143711E+001, 3.9675719E+001
 2.6194443E+001, 3.9739899E+001
 2.6245174E+001, 3.9784402E+001
 2.6300979E+001, 3.9833642E+001
 2.6356784E+001, 3.9883264E+001
 2.6412588E+001, 3.9933209E+001
 2.6468393E+001, 3.9983499E+001
 2.6568543E+001, 4.0051766E+001
 2.6618617E+001, 4.0120561E+001
 2.6668692E+001, 4.0166692E+001
 2.6718767E+001, 4.0213005E+001
 2.6768842E+001, 4.0259344E+001
 2.6868991E+001, 4.0328878E+001
 2.6919066E+001, 4.0398312E+001
 2.6969141E+001, 4.0444528E+001
 2.7019215E+001, 4.0490608E+001
 2.7069290E+001, 4.0536503E+001
 2.7169440E+001, 4.0605045E+001
